actor_id,actor_name,genres
nm0000286,Stephen Baldwin,"['Comedy', 'Family', 'Romance']"
nm0005060,Kristen Johnston,"['Comedy', 'Family', 'Romance']"
nm0005105,Jane Krakowski,"['Comedy', 'Family', 'Romance']"
nm0000432,Gene Hackman,"['Action', 'Drama', 'Thriller']"
nm0005562,Owen Wilson,"['Action', 'Drama', 'Thriller']"
nm0532683,Gabriel Macht,"['Action', 'Drama', 'Thriller']"
nm0925916,Charles Malik Whitfield,"['Action', 'Drama', 'Thriller']"
nm0011148,Lillian Adams,['Comedy']
nm0000729,Casey Affleck,['Comedy']
nm0120648,Cara Buono,['Comedy']
nm0004801,Nestor Carbonell,['Comedy']
nm0000179,Jude Law,"['Adventure', 'Drama', 'Romance']"
nm0000173,Nicole Kidman,"['Adventure', 'Drama', 'Romance']"
nm0000250,Renée Zellweger,"['Adventure', 'Drama', 'Romance']"
nm0040586,Eileen Atkins,"['Adventure', 'Drama', 'Romance']"
nm1186560,John E. Vitali,"['Action', 'Drama', 'Sport']"
nm0086731,Susan Blake,"['Action', 'Drama', 'Sport']"
nm1249664,Robert Pascucci,"['Action', 'Drama', 'Sport']"
